time;points;iterations
251.026;23335;103
380.307;23365;107
230.801;23331;83
215.741;23364;106
217.435;23308;89
248.746;23298;115
242.828;23280;105
212.411;23238;107
192.657;23321;93
193.970;23298;94
459.012;23350;96
192.306;23232;87
214.766;23290;99
302.120;23328;100
261.907;23324;70
267.758;23331;99
425.821;23350;119
207.376;23364;86
179.945;23272;87
151.367;23298;90
266.619;23328;94
194.424;23301;80
154.479;23269;78
203.940;23295;107
161.366;23289;106
184.281;23297;105
251.021;23312;89
217.765;23350;91
232.211;23282;112
337.181;23342;91
389.223;23342;101
129.956;23378;87
341.346;23335;105
157.317;23316;90
237.995;23315;97
390.190;23352;94
453.232;23340;114
347.690;23330;106
352.935;23346;105
192.911;23280;99
220.834;23327;101
181.655;23296;97
184.048;23323;93
306.793;23257;96
197.733;23357;94
253.511;23270;84
270.267;23297;102
303.640;23318;84
214.785;23299;109
284.793;23341;107
272.733;23348;109
303.297;23298;89
251.602;23332;93
303.411;23329;94
287.878;23308;95
354.385;23330;103
277.027;23341;94
179.383;23294;90
217.492;23314;102
217.441;23251;90
191.691;23374;94
249.588;23319;103
245.523;23294;94
253.365;23302;92
223.897;23363;102
198.585;23281;108
249.165;23298;91
175.990;23297;90
272.693;23304;88
343.433;23338;101
270.750;23348;104
178.960;23261;89
135.361;23306;91
146.625;23286;96
243.695;23342;100
194.237;23325;88
240.062;23278;98
247.090;23317;99
311.359;23350;113
427.334;23357;105
182.440;23329;95
230.262;23314;107
172.259;23295;104
154.045;23258;94
490.705;23350;123
203.714;23314;101
159.413;23278;96
101.391;23297;78
281.082;23317;97
148.931;23320;99
197.777;23382;103
258.905;23308;104
236.956;23320;102
574.569;23333;109
389.655;23311;99
286.619;23337;92
161.858;23322;89
172.393;23306;99
185.444;23298;101
221.333;23301;109
240.116;23279;114
380.606;23301;103
302.816;23301;96
139.439;23325;83
227.295;23309;89
135.569;23270;85
281.092;23326;101
214.855;23306;86
338.915;23374;96
233.225;23294;95
300.589;23348;84
192.040;23301;91
169.286;23273;102
399.702;23296;103
206.458;23330;97
215.681;23363;102
269.545;23241;90
189.977;23336;93
229.286;23353;110
177.226;23280;100
191.294;23215;84
122.921;23320;87
293.957;23335;97
203.721;23267;95
271.499;23336;103
197.458;23336;105
187.201;23307;95
185.798;23306;96
383.380;23313;99
157.794;23334;97
228.269;23314;95
348.833;23315;97
245.051;23313;97
475.140;23316;104
305.705;23286;108
278.790;23296;100
347.139;23336;102
147.909;23280;98
319.732;23311;92
209.926;23357;94
253.567;23314;104
288.827;23311;118
229.667;23329;92
182.519;23369;101
303.603;23353;101
189.913;23302;98
403.600;23363;97
266.986;23254;95
173.930;23345;86
175.417;23280;95
270.805;23350;90
342.354;23317;94
177.119;23305;91
260.688;23348;88
210.653;23301;83
260.906;23344;104
158.381;23220;108
325.692;23384;115
361.799;23339;97
311.457;23331;102
176.668;23320;105
299.115;23313;97
439.261;23365;102
207.459;23280;92
248.387;23264;85
163.990;23334;116
352.570;23339;96
162.181;23288;85
481.397;23348;107
146.699;23316;94
206.049;23315;92
235.422;23322;96
249.363;23353;99
190.284;23285;93
324.249;23369;97
188.573;23305;104
166.925;23307;92
173.954;23328;95
176.162;23283;101
300.277;23286;91
128.638;23242;96
191.520;23320;93
215.081;23361;95
251.751;23291;101
231.365;23314;94
243.591;23322;97
197.586;23290;90
455.158;23351;106
162.489;23359;98
194.118;23332;100
296.690;23363;121
283.612;23361;81
196.193;23293;105
234.909;23298;99
214.905;23238;90
183.282;23262;89
210.615;23320;97
260.172;23274;108
142.409;23287;92
430.208;23338;100
305.953;23298;88
242.501;23299;85
362.162;23368;107
250.566;23312;81
238.885;23296;102
272.573;23365;105
299.859;23310;100
329.543;23286;93
170.916;23288;104
288.813;23288;108
121.275;23307;87
332.924;23349;97
322.819;23297;98
184.339;23308;115
245.107;23361;91
144.809;23281;91
184.263;23342;99
210.344;23315;95
140.532;23221;102
196.504;23300;80
336.668;23312;97
216.532;23298;81
562.307;23366;99
144.846;23325;93
238.555;23320;102
231.429;23319;95
231.627;23355;109
220.548;23305;87
152.322;23286;77
310.168;23304;104
196.213;23361;91
154.994;23352;110
264.028;23284;102
198.872;23326;86
214.413;23313;94
213.685;23273;109
257.372;23384;92
135.245;23309;94
241.895;23219;90
187.166;23288;88
387.968;23345;93
277.996;23293;92
353.845;23334;86
436.684;23362;101
193.012;23341;103
361.083;23314;90
234.319;23245;101
387.853;23313;104
221.102;23316;91
202.727;23291;104
161.748;23271;103
240.642;23299;101
319.745;23302;94
385.698;23335;101
498.046;23334;120
245.419;23365;101
264.678;23247;81
381.243;23354;104
545.721;23382;101
272.495;23263;92
237.993;23297;99
264.753;23333;96
253.742;23322;90
190.013;23288;98
234.668;23306;93
258.454;23355;93
249.849;23329;103
318.021;23328;103
328.846;23328;103
563.451;23311;122
219.679;23320;104
262.658;23337;93
372.846;23308;103
228.250;23312;82
299.796;23311;93
186.011;23282;110
308.402;23366;111
274.375;23266;98
162.478;23330;84
377.026;23326;94
125.604;23292;89
203.790;23283;100
170.281;23309;91
292.961;23329;114
137.887;23244;96
168.269;23304;81
170.165;23307;87
330.919;23330;98
396.207;23327;95
298.477;23324;97
332.756;23342;103
242.237;23331;106
285.736;23353;117
203.385;23316;97
263.778;23265;81
218.550;23336;98
268.191;23275;110
237.517;23283;92
254.361;23270;85
309.150;23305;90
247.356;23265;97
281.910;23313;104
156.526;23211;98
237.624;23311;88
380.000;23309;106
219.129;23293;90
446.534;23355;86
288.874;23298;94
269.997;23355;96
373.467;23352;104
303.997;23327;106
222.350;23278;112
329.649;23350;97
264.369;23374;107
385.023;23328;98
265.068;23340;115
120.171;23312;105
121.483;23361;85
198.423;23283;90
264.848;23330;104
416.922;23286;90
158.766;23267;92
141.914;23335;85
151.367;23308;95
