time;points;iterations
0.764;16772;7
1.007;16874;12
0.496;16733;8
0.781;16703;8
0.532;16637;4
0.672;16768;7
0.987;16956;10
0.607;16743;8
0.441;16778;5
0.224;16881;2
0.696;16675;6
0.478;16974;4
0.616;16800;9
0.487;16752;7
0.277;16704;5
0.404;16769;7
0.643;16849;9
0.408;16794;5
0.526;16908;7
0.343;16880;4
0.690;16901;9
0.561;16743;7
0.714;16738;9
0.238;16796;2
0.376;16642;5
0.500;16768;5
0.485;16744;6
0.438;16771;5
0.665;16786;9
0.697;16757;9
0.507;16888;6
0.443;16742;5
0.380;16629;5
0.764;16791;9
0.404;16694;3
0.678;16933;8
0.460;16666;7
0.494;16725;8
0.220;16836;3
0.392;16826;7
0.365;16791;7
0.265;16916;4
0.738;16649;11
0.561;16856;8
0.599;16890;8
0.679;16794;7
0.464;16873;4
0.252;16873;2
0.241;16792;2
0.499;16742;8
0.467;16800;7
0.495;16706;8
0.519;16792;10
0.424;17081;8
0.548;16736;7
0.178;16628;2
0.350;16899;7
0.431;16891;7
0.305;16832;5
0.474;17040;10
0.354;16763;8
0.436;16814;10
0.479;16785;7
0.722;16608;6
0.426;17023;8
