time;points;iterations
1.012;16995;16
0.796;16677;16
0.938;16377;15
0.623;16858;11
0.580;16359;13
0.649;16079;12
0.889;15683;19
0.580;16979;11
0.916;16516;10
1.140;16104;16
1.229;15640;15
1.090;15638;11
0.865;16358;9
1.320;15886;15
1.119;16544;13
1.227;16762;14
1.294;16273;17
1.237;16350;18
1.532;16832;21
1.753;16180;16
1.098;15789;14
1.104;16218;15
0.698;15693;7
1.004;15898;10
1.009;16610;13
0.760;16241;14
1.638;16691;16
0.827;16010;9
1.378;15104;15
1.609;17031;17
1.497;16869;11
1.645;16898;20
0.977;16671;13
0.969;16672;14
0.746;16491;11
0.886;16372;15
0.772;16247;16
0.695;15633;15
1.243;16800;15
1.252;17049;20
0.874;16652;13
0.812;16072;10
0.772;15593;10
1.662;16782;18
1.966;16373;22
1.056;16156;11
1.238;16186;15
0.868;16377;15
0.875;16464;16
0.737;16226;14
0.752;16922;14
0.955;16266;15
1.055;16133;18
1.172;15818;17
0.667;16287;14
0.967;16712;16
1.517;16325;20
0.942;16292;12
1.604;16956;19
0.863;16078;10
1.801;16945;22
1.554;16709;17
1.028;16981;14
0.915;16918;17
0.859;16582;14
0.842;16877;15
0.620;15702;12
0.665;16648;12
0.845;16335;16
0.768;16093;14
0.684;16870;13
1.859;16798;17
1.875;16862;16
1.724;16525;17
1.110;16656;13
0.876;16790;10
0.937;16185;11
0.945;16363;11
1.619;16423;20
0.991;16310;16
0.928;16841;15
0.712;16842;14
0.808;16918;18
0.582;16866;11
0.906;16317;14
0.789;16740;10
1.326;15791;13
1.330;16689;14
2.036;16831;18
1.247;16785;12
1.432;16290;13
0.807;16856;10
0.855;16222;11
0.889;16848;11
1.388;16703;18
1.566;16716;19
1.178;16927;14
1.779;15905;14
1.125;16631;12
1.061;16204;14
0.825;16333;12
1.110;16249;14
1.213;16639;16
0.752;16314;13
0.611;15921;11
0.699;16053;15
1.006;16895;19
0.677;16676;15
0.523;16247;11
1.190;16446;18
1.227;16848;18
1.184;16252;15
1.427;16742;15
1.711;16401;17
1.002;16758;11
1.980;16649;14
0.744;15585;12
0.554;16750;10
0.751;16824;13
1.416;16276;13
0.740;16375;14
0.816;16446;15
0.624;16397;14
0.761;16919;16
0.856;16229;15
0.781;16068;14
0.730;16198;11
1.237;15982;15
1.287;16400;14
1.195;15791;15
1.006;16782;14
0.610;16210;9
0.703;16917;12
0.706;16218;13
1.174;16288;17
0.911;16896;17
0.657;16064;13
0.879;16916;17
0.530;16718;11
0.360;16097;7
0.569;16783;12
0.494;16180;9
0.639;16812;13
0.731;16980;14
1.629;16950;16
1.231;16823;12
2.222;15824;21
2.072;16984;22
0.993;16339;12
0.615;16309;14
1.785;17118;22
1.146;16155;13
1.140;16798;13
0.878;16782;10
0.972;16425;17
1.063;16522;16
1.638;16855;20
1.408;16325;17
1.198;16916;17
0.692;16117;7
0.801;16282;10
1.463;16718;14
0.869;15809;15
0.874;16559;15
1.018;15631;13
0.949;16674;11
1.188;16635;13
1.129;16457;13
1.821;16849;19
1.529;16230;15
1.324;16455;17
1.053;16604;11
1.081;16456;17
0.829;16429;16
0.789;16266;16
0.451;15712;8
0.773;16122;16
0.708;16985;17
0.740;16246;16
0.827;16493;15
0.660;16216;14
0.586;15804;11
0.478;16165;10
0.643;16249;12
0.956;16913;17
0.846;16139;14
0.939;16715;7
1.894;16651;15
1.665;16421;17
1.230;16694;11
0.914;16767;9
1.187;16225;13
0.808;16431;10
1.655;16268;19
1.521;16255;19
1.063;16082;15
0.751;16196;10
0.811;15580;11
0.813;16853;12
0.878;16125;11
1.092;15362;13
1.179;16828;15
1.334;16249;17
1.262;16867;16
