variant;run;score;time_ms;iterations;states
standard;424;23159;38.462;34.0;35
standard;425;23163;56.455;32.0;33
standard;426;23107;54.678;33.0;34
standard;427;23118;57.998;33.0;34
standard;428;23046;53.644;33.0;34
standard;429;23198;37.093;34.0;35
standard;430;23155;59.600;32.0;33
standard;431;23134;35.541;32.0;33
standard;432;23095;36.368;32.0;33
standard;433;23035;64.204;34.0;35
standard;434;22998;33.185;31.0;32
standard;435;23083;38.633;31.0;32
standard;436;23157;52.919;31.0;32
standard;437;22939;32.770;28.0;29
standard;438;23205;56.811;31.0;32
standard;439;23043;42.708;33.0;34
standard;440;22948;31.324;30.0;31
standard;441;23202;56.364;31.0;32
standard;442;23140;33.574;33.0;34
standard;443;23189;57.898;32.0;33
standard;444;23143;40.110;31.0;32
standard;445;23132;39.959;35.0;36
standard;446;23218;45.693;33.0;34
standard;447;23152;55.538;34.0;35
standard;448;23261;55.270;32.0;33
standard;449;23003;41.688;30.0;31
standard;450;23186;37.128;33.0;34
standard;451;23134;57.201;33.0;34
standard;452;22900;34.760;33.0;34
standard;453;23184;40.623;31.0;32
standard;454;22910;34.762;32.0;33
standard;455;23288;58.862;33.0;34
standard;456;22982;31.656;33.0;34
standard;457;23218;56.792;31.0;32
standard;458;23118;60.459;34.0;35
standard;459;23177;40.216;33.0;34
standard;460;23053;68.499;32.0;33
standard;461;23154;33.427;34.0;35
standard;462;23203;63.162;34.0;35
standard;463;23134;56.499;33.0;34
standard;464;23135;37.861;33.0;34
standard;465;23029;53.704;31.0;32
standard;466;23126;56.940;32.0;33
standard;467;23070;56.744;32.0;33
standard;468;23104;31.719;32.0;33
standard;469;23116;60.117;34.0;35
standard;470;23099;57.365;34.0;35
standard;471;23195;44.090;34.0;35
standard;472;23090;33.238;32.0;33
standard;473;23047;43.414;32.0;33
standard;474;23188;56.785;33.0;34
standard;475;23201;44.676;36.0;37
standard;476;23093;41.866;31.0;32
standard;477;23101;56.369;31.0;32
standard;478;23164;34.207;34.0;35
standard;479;23099;56.429;33.0;34
standard;480;23189;44.046;34.0;35
standard;481;23147;33.654;30.0;31
standard;482;23079;56.661;31.0;32
standard;483;23144;33.305;32.0;33
standard;484;23194;61.253;34.0;35
standard;485;23066;60.197;32.0;33
standard;486;23247;58.738;33.0;34
standard;487;23213;44.587;34.0;35
standard;488;23067;61.245;31.0;32
standard;489;23232;43.927;32.0;33
standard;490;23268;57.153;32.0;33
standard;491;23184;46.232;33.0;34
standard;492;23237;55.066;33.0;34
standard;493;23237;67.700;35.0;36
standard;494;23062;65.513;34.0;35
standard;495;23120;56.748;36.0;37
standard;496;22944;60.452;31.0;32
standard;497;23179;38.913;32.0;33
standard;498;23155;57.253;34.0;35
standard;499;23200;51.155;31.0;32
standard;500;23029;55.954;30.0;31
standard;501;23226;40.254;32.0;33
standard;502;23095;44.031;31.0;32
standard;503;23048;60.687;31.0;32
standard;504;23243;46.021;33.0;34
standard;505;23125;62.737;31.0;32
standard;506;22953;55.137;30.0;31
standard;507;23187;37.970;32.0;33
standard;508;23229;49.178;32.0;33
standard;509;23139;54.498;33.0;34
standard;510;23179;50.959;34.0;35
standard;511;23107;31.624;32.0;33
standard;512;22880;62.022;31.0;32
standard;513;23198;35.566;34.0;35
standard;514;23234;61.310;33.0;34
standard;515;23189;50.221;35.0;36
standard;516;23016;45.080;29.0;30
standard;517;23184;33.831;32.0;33
standard;518;23170;55.854;32.0;33
standard;519;23043;52.524;30.0;31
standard;520;23062;57.236;32.0;33
standard;521;23088;42.791;32.0;33
standard;522;23076;41.491;33.0;34
standard;523;22969;62.392;32.0;33
standard;524;23171;40.779;30.0;31
standard;525;23117;40.443;32.0;33
standard;526;22955;62.091;33.0;34
standard;527;23230;41.868;32.0;33
standard;528;23200;50.705;35.0;36
standard;529;23028;61.876;32.0;33
standard;530;23010;40.013;31.0;32
standard;531;23042;50.189;31.0;32
standard;532;23153;67.520;30.0;31
standard;533;23103;46.544;33.0;34
